feature,importance_ranker
sales_to_price,6
gk_vol,4
vol_of_vol_60d,4
dollar_vol_20d,4
idio_vol_252d,3
hurst_126d,3
revenue_growth,3
skew_60d,3
amihud_20d,3
mom_12_1,3
ret_1d,2
ret_5d,2
roughness_x_momentum,2
idio_roughness_126d,2
vol_of_vol_126d,2
max_dd_252d,2
turnover_20d,2
roughness_x_illiquidity,1
ret_20d,1
roughness_gk_126d,1
ret_60d,1
debt_to_assets_missing,1
sue_ibes,1
asset_growth,1
revision_3m,1
ma20_to_ma60,1
ret_252d,1
rv_60d,1
downside_vol_60d,1
idio_vol_252d_missing,0
max_dd_252d_missing,0
skew_60d_missing,0
amihud_20d_missing,0
dollar_vol_20d_missing,0
turnover_20d_missing,0
earnings_yield_missing,0
max_dd_60d_missing,0
book_to_market_missing,0
roa_missing,0
downside_vol_60d_missing,0
beta_252d_missing,0
asset_growth_missing,0
roe_missing,0
sales_to_price_missing,0
gross_profitability_missing,0
hurst_126d_missing,0
revenue_growth_missing,0
gk_vol_missing,0
est_disp_missing,0
revision_3m_missing,0
revision_1m_missing,0
sue_ibes_missing,0
roughness_gk_252d_missing,0
roughness_gk_126d_missing,0
hurst_gk_252d_missing,0
hurst_gk_126d_missing,0
roughness_x_illiquidity_missing,0
debt_to_equity_missing,0
roughness_x_momentum_missing,0
idio_roughness_126d_missing,0
vol_of_vol_126d_missing,0
vol_of_vol_60d_missing,0
hurst_252d_missing,0
rv_60d_missing,0
accruals_missing,0
sue_missing,0
rv_120d_missing,0
ret_1d_missing,0
rv_20d_missing,0
max_ret_20d_missing,0
debt_to_assets,0
debt_to_equity,0
gross_profitability,0
roa,0
roe,0
earnings_yield,0
book_to_market,0
max_dd_60d,0
beta_252d,0
rv_120d,0
rv_20d,0
max_ret_20d,0
close_to_52w_high,0
price_position_252d,0
close_to_ma60,0
close_to_ma20,0
ret_120d,0
sue,0
accruals,0
hurst_252d,0
ret_120d_missing,0
close_to_52w_high_missing,0
price_position_252d_missing,0
ma20_to_ma60_missing,0
close_to_ma60_missing,0
close_to_ma20_missing,0
mom_12_1_missing,0
ret_252d_missing,0
ret_60d_missing,0
hurst_gk_126d,0
ret_20d_missing,0
ret_5d_missing,0
num_analysts,0
est_disp,0
revision_1m,0
roughness_gk_252d,0
hurst_gk_252d,0
num_analysts_missing,0
